
===== logging start 2025-11-23 14:30:16 =====
--- Best Epoch: 545, Loss: 1.9043e-02, IC: 1.8689e-02, Res: 3.5401e-04 ---
--- Best Epoch: 635, Loss: 1.8753e-02, IC: 1.8515e-02, Res: 2.3766e-04 ---
--- Best Epoch: 898, Loss: 1.8627e-02, IC: 1.8453e-02, Res: 1.7471e-04 ---
[info] Training epoch: 1000, LR: 9.50e-04
--- Best Epoch: 1041, Loss: 1.8039e-02, IC: 1.7812e-02, Res: 2.2683e-04 ---
--- Best Epoch: 1345, Loss: 1.7951e-02, IC: 1.7348e-02, Res: 6.0341e-04 ---
--- Best Epoch: 1355, Loss: 1.7683e-02, IC: 1.7375e-02, Res: 3.0844e-04 ---
--- Best Epoch: 1377, Loss: 1.7664e-02, IC: 1.6877e-02, Res: 7.8745e-04 ---
--- Best Epoch: 1392, Loss: 1.7590e-02, IC: 1.7053e-02, Res: 5.3745e-04 ---
--- Best Epoch: 1396, Loss: 1.6915e-02, IC: 1.6641e-02, Res: 2.7400e-04 ---
--- Best Epoch: 1412, Loss: 1.6487e-02, IC: 1.5899e-02, Res: 5.8815e-04 ---
--- Best Epoch: 1419, Loss: 1.5897e-02, IC: 1.4984e-02, Res: 9.1313e-04 ---
--- Best Epoch: 1421, Loss: 1.5174e-02, IC: 1.4627e-02, Res: 5.4727e-04 ---
--- Best Epoch: 1430, Loss: 1.4298e-02, IC: 1.3543e-02, Res: 7.5504e-04 ---
--- Best Epoch: 1480, Loss: 1.3927e-02, IC: 1.3730e-02, Res: 1.9738e-04 ---
--- Best Epoch: 1488, Loss: 1.3593e-02, IC: 1.3573e-02, Res: 2.0495e-05 ---
--- Best Epoch: 1495, Loss: 1.3350e-02, IC: 1.3188e-02, Res: 1.6242e-04 ---
--- Best Epoch: 1503, Loss: 1.3327e-02, IC: 1.3314e-02, Res: 1.2773e-05 ---
--- Best Epoch: 1509, Loss: 1.2426e-02, IC: 1.2412e-02, Res: 1.4601e-05 ---
--- Best Epoch: 1525, Loss: 1.2269e-02, IC: 1.2186e-02, Res: 8.3494e-05 ---
--- Best Epoch: 1537, Loss: 1.1496e-02, IC: 1.0684e-02, Res: 8.1215e-04 ---
--- Best Epoch: 1540, Loss: 1.0739e-02, IC: 1.0702e-02, Res: 3.6878e-05 ---
--- Best Epoch: 1544, Loss: 1.0329e-02, IC: 1.0268e-02, Res: 6.1291e-05 ---
--- Best Epoch: 1545, Loss: 9.8407e-03, IC: 9.6164e-03, Res: 2.2435e-04 ---
--- Best Epoch: 1546, Loss: 9.5086e-03, IC: 9.5079e-03, Res: 7.0050e-07 ---
--- Best Epoch: 1547, Loss: 8.7653e-03, IC: 8.7650e-03, Res: 3.0985e-07 ---
--- Best Epoch: 1549, Loss: 7.9097e-03, IC: 7.8815e-03, Res: 2.8172e-05 ---
--- Best Epoch: 1554, Loss: 7.5260e-03, IC: 7.4653e-03, Res: 6.0686e-05 ---
--- Best Epoch: 1559, Loss: 7.3751e-03, IC: 7.3526e-03, Res: 2.2503e-05 ---
--- Best Epoch: 1615, Loss: 6.9810e-03, IC: 6.9676e-03, Res: 1.3438e-05 ---
--- Best Epoch: 1667, Loss: 6.7522e-03, IC: 6.7522e-03, Res: 4.0336e-08 ---
--- Best Epoch: 1751, Loss: 6.6566e-03, IC: 6.6544e-03, Res: 2.1774e-06 ---
--- Best Epoch: 1806, Loss: 6.5815e-03, IC: 6.5804e-03, Res: 1.0192e-06 ---
--- Best Epoch: 1811, Loss: 6.2964e-03, IC: 6.2964e-03, Res: 1.8589e-10 ---
--- Best Epoch: 1914, Loss: 6.2471e-03, IC: 6.2205e-03, Res: 2.6627e-05 ---
--- Best Epoch: 1949, Loss: 6.1568e-03, IC: 6.1568e-03, Res: 1.6361e-08 ---
--- Best Epoch: 1952, Loss: 5.7703e-03, IC: 5.7703e-03, Res: 6.9311e-09 ---
--- Best Epoch: 1984, Loss: 5.5000e-03, IC: 5.4995e-03, Res: 5.8703e-07 ---
--- Best Epoch: 1988, Loss: 4.1600e-03, IC: 4.1600e-03, Res: 4.2665e-13 ---
--- Best Epoch: 1992, Loss: 2.9003e-03, IC: 2.9001e-03, Res: 1.7692e-07 ---
--- Best Epoch: 1995, Loss: 2.5961e-03, IC: 2.5961e-03, Res: 1.2970e-11 ---
--- Best Epoch: 1996, Loss: 1.7663e-03, IC: 1.7662e-03, Res: 7.2169e-08 ---
--- Best Epoch: 1999, Loss: 1.2657e-03, IC: 1.2657e-03, Res: 6.4103e-13 ---
[info] Training epoch: 2000, LR: 9.02e-04
--- Best Epoch: 2000, Loss: 9.7283e-04, IC: 9.7183e-04, Res: 9.9865e-07 ---
--- Best Epoch: 2003, Loss: 5.7263e-04, IC: 5.7257e-04, Res: 6.0551e-08 ---
--- Best Epoch: 2006, Loss: 5.2075e-04, IC: 5.2075e-04, Res: 2.1485e-11 ---
--- Best Epoch: 2007, Loss: 4.9350e-04, IC: 4.9350e-04, Res: 1.3988e-13 ---
--- Best Epoch: 2010, Loss: 4.8922e-04, IC: 4.8922e-04, Res: 1.2116e-09 ---
--- Best Epoch: 2014, Loss: 4.6306e-04, IC: 4.6306e-04, Res: 8.9539e-16 ---
--- Best Epoch: 2016, Loss: 4.3289e-04, IC: 4.3289e-04, Res: 7.2430e-12 ---
--- Best Epoch: 2018, Loss: 3.7681e-04, IC: 3.7681e-04, Res: 3.6613e-09 ---
--- Best Epoch: 2020, Loss: 3.7564e-04, IC: 3.6708e-04, Res: 8.5684e-06 ---
--- Best Epoch: 2021, Loss: 3.6495e-04, IC: 3.6495e-04, Res: 6.5442e-11 ---
--- Best Epoch: 2022, Loss: 2.8983e-04, IC: 2.8983e-04, Res: 6.9118e-10 ---
--- Best Epoch: 2025, Loss: 2.5903e-04, IC: 2.5903e-04, Res: 3.1129e-12 ---
--- Best Epoch: 2028, Loss: 2.1407e-04, IC: 2.1407e-04, Res: 2.0925e-15 ---
--- Best Epoch: 2032, Loss: 2.0158e-04, IC: 2.0158e-04, Res: 3.0084e-12 ---
--- Best Epoch: 2039, Loss: 1.8506e-04, IC: 1.8506e-04, Res: 1.1185e-13 ---
--- Best Epoch: 2059, Loss: 1.7625e-04, IC: 1.7466e-04, Res: 1.5879e-06 ---
--- Best Epoch: 2062, Loss: 1.7349e-04, IC: 1.6741e-04, Res: 6.0829e-06 ---
--- Best Epoch: 2065, Loss: 1.5885e-04, IC: 1.5885e-04, Res: 4.9936e-12 ---
--- Best Epoch: 2068, Loss: 1.5668e-04, IC: 1.5668e-04, Res: 1.7832e-12 ---
--- Best Epoch: 2070, Loss: 1.5538e-04, IC: 1.5537e-04, Res: 1.0496e-08 ---
--- Best Epoch: 2158, Loss: 1.3684e-04, IC: 1.3684e-04, Res: 1.1496e-10 ---
--- Best Epoch: 2161, Loss: 1.2903e-04, IC: 1.2903e-04, Res: 6.4330e-14 ---
--- Best Epoch: 2166, Loss: 1.2770e-04, IC: 1.2770e-04, Res: 1.1247e-18 ---
--- Best Epoch: 2169, Loss: 1.2593e-04, IC: 1.2593e-04, Res: 9.9664e-12 ---
--- Best Epoch: 2171, Loss: 1.2270e-04, IC: 1.2270e-04, Res: 8.9453e-10 ---
--- Best Epoch: 2172, Loss: 1.1705e-04, IC: 1.1705e-04, Res: 3.9622e-14 ---
--- Best Epoch: 2176, Loss: 1.1055e-04, IC: 1.1055e-04, Res: 4.9895e-20 ---
--- Best Epoch: 2185, Loss: 1.1001e-04, IC: 1.1001e-04, Res: 3.7935e-14 ---
--- Best Epoch: 2186, Loss: 1.0577e-04, IC: 1.0575e-04, Res: 1.6337e-08 ---
--- Best Epoch: 2194, Loss: 1.0496e-04, IC: 1.0496e-04, Res: 1.4164e-14 ---
--- Best Epoch: 2195, Loss: 1.0342e-04, IC: 1.0342e-04, Res: 2.5940e-13 ---
--- Best Epoch: 2197, Loss: 1.0147e-04, IC: 1.0147e-04, Res: 1.0572e-11 ---
--- Best Epoch: 2202, Loss: 1.0072e-04, IC: 1.0072e-04, Res: 5.4956e-10 ---
--- Best Epoch: 2203, Loss: 1.0070e-04, IC: 1.0070e-04, Res: 3.1194e-10 ---
--- Best Epoch: 2208, Loss: 9.9274e-05, IC: 9.9274e-05, Res: 1.9587e-10 ---
--- Best Epoch: 2211, Loss: 9.8873e-05, IC: 9.8873e-05, Res: 2.7391e-12 ---
--- Best Epoch: 2250, Loss: 9.6588e-05, IC: 9.6588e-05, Res: 1.0751e-18 ---
--- Best Epoch: 2294, Loss: 9.2765e-05, IC: 9.2765e-05, Res: 1.2085e-16 ---
--- Best Epoch: 2306, Loss: 9.0337e-05, IC: 9.0337e-05, Res: 6.3207e-14 ---
--- Best Epoch: 2307, Loss: 8.5476e-05, IC: 8.5476e-05, Res: 2.2324e-15 ---
--- Best Epoch: 2316, Loss: 8.3109e-05, IC: 8.3109e-05, Res: 2.7476e-12 ---
--- Best Epoch: 2317, Loss: 8.2277e-05, IC: 8.2277e-05, Res: 3.1171e-13 ---
--- Best Epoch: 2322, Loss: 7.8164e-05, IC: 7.8164e-05, Res: 8.2851e-13 ---
--- Best Epoch: 2334, Loss: 7.7829e-05, IC: 7.7829e-05, Res: 6.6324e-13 ---
--- Best Epoch: 2344, Loss: 7.6710e-05, IC: 7.6589e-05, Res: 1.2077e-07 ---
--- Best Epoch: 2348, Loss: 7.4829e-05, IC: 7.4829e-05, Res: 1.4114e-11 ---
--- Best Epoch: 2352, Loss: 7.3471e-05, IC: 7.3470e-05, Res: 1.3173e-09 ---
--- Best Epoch: 2363, Loss: 6.9028e-05, IC: 6.9025e-05, Res: 2.6465e-09 ---
--- Best Epoch: 2390, Loss: 6.8073e-05, IC: 6.8063e-05, Res: 1.0446e-08 ---
--- Best Epoch: 2460, Loss: 6.2795e-05, IC: 6.2795e-05, Res: 8.4117e-12 ---
--- Best Epoch: 2473, Loss: 6.2692e-05, IC: 6.2692e-05, Res: 4.7125e-15 ---
--- Best Epoch: 2476, Loss: 6.2133e-05, IC: 6.2132e-05, Res: 1.4440e-09 ---
--- Best Epoch: 2479, Loss: 6.1052e-05, IC: 6.1052e-05, Res: 8.3864e-13 ---
--- Best Epoch: 2490, Loss: 5.8224e-05, IC: 5.8224e-05, Res: 6.1030e-12 ---
--- Best Epoch: 2534, Loss: 5.6978e-05, IC: 5.6978e-05, Res: 1.5012e-13 ---
--- Best Epoch: 2553, Loss: 5.6631e-05, IC: 5.6631e-05, Res: 4.7147e-18 ---
--- Best Epoch: 2554, Loss: 5.5417e-05, IC: 5.5417e-05, Res: 9.0189e-12 ---
--- Best Epoch: 2559, Loss: 5.5371e-05, IC: 5.5371e-05, Res: 2.2058e-12 ---
--- Best Epoch: 2561, Loss: 5.4550e-05, IC: 5.4550e-05, Res: 2.4549e-12 ---
--- Best Epoch: 2568, Loss: 5.2603e-05, IC: 5.2603e-05, Res: 4.0432e-13 ---
--- Best Epoch: 2580, Loss: 5.2445e-05, IC: 5.2437e-05, Res: 8.0818e-09 ---
--- Best Epoch: 2585, Loss: 5.1347e-05, IC: 5.1347e-05, Res: 2.7628e-12 ---
--- Best Epoch: 2734, Loss: 5.0918e-05, IC: 5.0918e-05, Res: 3.1802e-11 ---
--- Best Epoch: 2737, Loss: 4.9988e-05, IC: 4.9988e-05, Res: 3.4192e-14 ---
--- Best Epoch: 2757, Loss: 4.9706e-05, IC: 4.9706e-05, Res: 6.3538e-15 ---
--- Best Epoch: 2761, Loss: 4.8927e-05, IC: 4.8899e-05, Res: 2.7952e-08 ---
--- Best Epoch: 2763, Loss: 4.6967e-05, IC: 4.6967e-05, Res: 8.1588e-15 ---
--- Best Epoch: 2784, Loss: 4.6616e-05, IC: 4.6616e-05, Res: 1.4223e-12 ---
--- Best Epoch: 2789, Loss: 4.4521e-05, IC: 4.4521e-05, Res: 4.1818e-12 ---
--- Best Epoch: 2840, Loss: 4.3960e-05, IC: 4.3953e-05, Res: 6.8020e-09 ---
--- Best Epoch: 2845, Loss: 4.1453e-05, IC: 4.1450e-05, Res: 3.2584e-09 ---
--- Best Epoch: 2857, Loss: 4.0765e-05, IC: 4.0765e-05, Res: 6.6103e-14 ---
--- Best Epoch: 2883, Loss: 3.9143e-05, IC: 3.9143e-05, Res: 8.7001e-11 ---
--- Best Epoch: 2907, Loss: 3.8853e-05, IC: 3.8853e-05, Res: 3.7297e-19 ---
--- Best Epoch: 2930, Loss: 3.6261e-05, IC: 3.6261e-05, Res: 6.3654e-14 ---
--- Best Epoch: 2967, Loss: 3.6117e-05, IC: 3.6117e-05, Res: 2.0494e-10 ---
--- Best Epoch: 2968, Loss: 3.5957e-05, IC: 3.5908e-05, Res: 4.8840e-08 ---
--- Best Epoch: 2979, Loss: 3.4582e-05, IC: 3.4582e-05, Res: 5.3449e-16 ---
--- Best Epoch: 2983, Loss: 3.4418e-05, IC: 3.4312e-05, Res: 1.0564e-07 ---
[info] Training epoch: 3000, LR: 8.57e-04
--- Best Epoch: 3068, Loss: 3.4408e-05, IC: 3.4408e-05, Res: 4.1176e-12 ---
--- Best Epoch: 3076, Loss: 3.4146e-05, IC: 3.4146e-05, Res: 1.2232e-10 ---
--- Best Epoch: 3134, Loss: 3.3920e-05, IC: 3.3900e-05, Res: 2.0130e-08 ---
--- Best Epoch: 3144, Loss: 3.3708e-05, IC: 3.3708e-05, Res: 1.7536e-13 ---
--- Best Epoch: 3146, Loss: 3.2340e-05, IC: 3.2340e-05, Res: 4.8824e-11 ---
--- Best Epoch: 3159, Loss: 3.0640e-05, IC: 3.0640e-05, Res: 4.0148e-10 ---
--- Best Epoch: 3166, Loss: 3.0075e-05, IC: 3.0075e-05, Res: 3.0716e-11 ---
--- Best Epoch: 3168, Loss: 2.8856e-05, IC: 2.8856e-05, Res: 4.2691e-10 ---
--- Best Epoch: 3191, Loss: 2.8310e-05, IC: 2.8310e-05, Res: 5.2527e-12 ---
--- Best Epoch: 3194, Loss: 2.7871e-05, IC: 2.7871e-05, Res: 4.3365e-13 ---
--- Best Epoch: 3425, Loss: 2.7140e-05, IC: 2.7140e-05, Res: 3.4790e-10 ---
--- Best Epoch: 3428, Loss: 2.6996e-05, IC: 2.6989e-05, Res: 7.0618e-09 ---
--- Best Epoch: 3429, Loss: 2.6553e-05, IC: 2.6553e-05, Res: 8.5143e-12 ---
--- Best Epoch: 3465, Loss: 2.6417e-05, IC: 2.6339e-05, Res: 7.7951e-08 ---
--- Best Epoch: 3466, Loss: 2.6397e-05, IC: 2.6397e-05, Res: 5.1168e-11 ---
