
===== logging start 2025-10-28 19:42:36 =====
--- Best Epoch: 440, Loss: 1.9362e-02, IC: 1.9109e-02, Res: 2.5360e-04 ---
--- Best Epoch: 465, Loss: 1.9362e-02, IC: 1.9197e-02, Res: 1.6509e-04 ---
--- Best Epoch: 472, Loss: 1.9287e-02, IC: 1.9090e-02, Res: 1.9674e-04 ---
--- Best Epoch: 481, Loss: 1.9204e-02, IC: 1.9038e-02, Res: 1.6514e-04 ---
--- Best Epoch: 485, Loss: 1.8970e-02, IC: 1.8858e-02, Res: 1.1261e-04 ---
--- Best Epoch: 493, Loss: 1.8659e-02, IC: 1.8551e-02, Res: 1.0772e-04 ---
--- Best Epoch: 515, Loss: 1.8552e-02, IC: 1.8395e-02, Res: 1.5687e-04 ---
--- Best Epoch: 532, Loss: 1.8524e-02, IC: 1.8258e-02, Res: 2.6600e-04 ---
--- Best Epoch: 545, Loss: 1.7891e-02, IC: 1.7550e-02, Res: 3.4058e-04 ---
--- Best Epoch: 570, Loss: 1.7799e-02, IC: 1.7492e-02, Res: 3.0707e-04 ---
--- Best Epoch: 604, Loss: 1.7540e-02, IC: 1.7237e-02, Res: 3.0301e-04 ---
--- Best Epoch: 613, Loss: 1.7513e-02, IC: 1.7180e-02, Res: 3.3239e-04 ---
--- Best Epoch: 635, Loss: 1.6527e-02, IC: 1.6134e-02, Res: 3.9310e-04 ---
--- Best Epoch: 846, Loss: 1.6468e-02, IC: 1.5891e-02, Res: 5.7637e-04 ---
--- Best Epoch: 870, Loss: 1.6397e-02, IC: 1.5507e-02, Res: 8.8972e-04 ---
--- Best Epoch: 898, Loss: 1.6216e-02, IC: 1.5382e-02, Res: 8.3387e-04 ---
--- Best Epoch: 901, Loss: 1.5803e-02, IC: 1.5021e-02, Res: 7.8222e-04 ---
--- Best Epoch: 947, Loss: 1.5548e-02, IC: 1.4601e-02, Res: 9.4687e-04 ---
--- Best Epoch: 951, Loss: 1.5367e-02, IC: 1.4701e-02, Res: 6.6561e-04 ---
--- Best Epoch: 952, Loss: 1.5146e-02, IC: 1.4652e-02, Res: 4.9398e-04 ---
--- Best Epoch: 958, Loss: 1.4980e-02, IC: 1.4474e-02, Res: 5.0587e-04 ---
--- Best Epoch: 968, Loss: 1.4961e-02, IC: 1.3932e-02, Res: 1.0289e-03 ---
--- Best Epoch: 973, Loss: 1.4867e-02, IC: 1.3818e-02, Res: 1.0497e-03 ---
--- Best Epoch: 975, Loss: 1.4757e-02, IC: 1.4123e-02, Res: 6.3354e-04 ---
--- Best Epoch: 994, Loss: 1.4568e-02, IC: 1.3641e-02, Res: 9.2742e-04 ---
--- Best Epoch: 997, Loss: 1.4503e-02, IC: 1.3765e-02, Res: 7.3800e-04 ---
--- Best Epoch: 999, Loss: 1.4472e-02, IC: 1.3792e-02, Res: 6.7977e-04 ---
[info] Training epoch: 1000, LR: 9.50e-04
--- Best Epoch: 1010, Loss: 1.4316e-02, IC: 1.3931e-02, Res: 3.8451e-04 ---
--- Best Epoch: 1018, Loss: 1.4167e-02, IC: 1.3214e-02, Res: 9.5335e-04 ---
--- Best Epoch: 1021, Loss: 1.4062e-02, IC: 1.3553e-02, Res: 5.0920e-04 ---
--- Best Epoch: 1022, Loss: 1.2833e-02, IC: 1.2305e-02, Res: 5.2839e-04 ---
--- Best Epoch: 1054, Loss: 1.2372e-02, IC: 1.1974e-02, Res: 3.9770e-04 ---
--- Best Epoch: 1055, Loss: 1.2139e-02, IC: 1.0881e-02, Res: 1.2580e-03 ---
--- Best Epoch: 1060, Loss: 1.1559e-02, IC: 1.0810e-02, Res: 7.4904e-04 ---
--- Best Epoch: 1061, Loss: 1.1515e-02, IC: 1.0601e-02, Res: 9.1361e-04 ---
--- Best Epoch: 1067, Loss: 1.0907e-02, IC: 1.0406e-02, Res: 5.0119e-04 ---
--- Best Epoch: 1068, Loss: 1.0401e-02, IC: 1.0077e-02, Res: 3.2386e-04 ---
--- Best Epoch: 1073, Loss: 1.0085e-02, IC: 9.4310e-03, Res: 6.5355e-04 ---
--- Best Epoch: 1075, Loss: 9.6802e-03, IC: 9.4214e-03, Res: 2.5881e-04 ---
--- Best Epoch: 1076, Loss: 9.4788e-03, IC: 8.7280e-03, Res: 7.5081e-04 ---
--- Best Epoch: 1078, Loss: 9.0854e-03, IC: 8.5556e-03, Res: 5.2983e-04 ---
--- Best Epoch: 1080, Loss: 8.7531e-03, IC: 8.1839e-03, Res: 5.6914e-04 ---
--- Best Epoch: 1082, Loss: 8.7223e-03, IC: 8.2174e-03, Res: 5.0488e-04 ---
--- Best Epoch: 1083, Loss: 8.4675e-03, IC: 7.9179e-03, Res: 5.4958e-04 ---
--- Best Epoch: 1109, Loss: 7.1596e-03, IC: 6.7666e-03, Res: 3.9296e-04 ---
--- Best Epoch: 1158, Loss: 6.5430e-03, IC: 6.1149e-03, Res: 4.2817e-04 ---
--- Best Epoch: 1179, Loss: 5.9151e-03, IC: 5.6916e-03, Res: 2.2356e-04 ---
--- Best Epoch: 1186, Loss: 5.5206e-03, IC: 5.2121e-03, Res: 3.0851e-04 ---
--- Best Epoch: 1188, Loss: 5.2070e-03, IC: 4.9686e-03, Res: 2.3838e-04 ---
--- Best Epoch: 1192, Loss: 5.0821e-03, IC: 4.9977e-03, Res: 8.4324e-05 ---
--- Best Epoch: 1193, Loss: 5.0313e-03, IC: 4.5017e-03, Res: 5.2954e-04 ---
--- Best Epoch: 1194, Loss: 4.5835e-03, IC: 4.3151e-03, Res: 2.6845e-04 ---
--- Best Epoch: 1199, Loss: 4.2857e-03, IC: 4.1598e-03, Res: 1.2587e-04 ---
--- Best Epoch: 1204, Loss: 3.4931e-03, IC: 3.4853e-03, Res: 7.7507e-06 ---
--- Best Epoch: 1206, Loss: 3.3871e-03, IC: 3.3094e-03, Res: 7.7669e-05 ---
--- Best Epoch: 1210, Loss: 3.1308e-03, IC: 2.5728e-03, Res: 5.5808e-04 ---
--- Best Epoch: 1211, Loss: 2.9356e-03, IC: 2.8038e-03, Res: 1.3179e-04 ---
--- Best Epoch: 1212, Loss: 2.6821e-03, IC: 2.5981e-03, Res: 8.3995e-05 ---
--- Best Epoch: 1214, Loss: 2.1055e-03, IC: 2.0815e-03, Res: 2.4007e-05 ---
--- Best Epoch: 1232, Loss: 1.9493e-03, IC: 1.9420e-03, Res: 7.2519e-06 ---
--- Best Epoch: 1236, Loss: 1.8799e-03, IC: 1.6340e-03, Res: 2.4591e-04 ---
--- Best Epoch: 1237, Loss: 1.0489e-03, IC: 9.3770e-04, Res: 1.1116e-04 ---
--- Best Epoch: 1241, Loss: 9.8967e-04, IC: 8.7485e-04, Res: 1.1482e-04 ---
--- Best Epoch: 1242, Loss: 9.1551e-04, IC: 8.8733e-04, Res: 2.8182e-05 ---
--- Best Epoch: 1243, Loss: 6.4223e-04, IC: 5.2383e-04, Res: 1.1839e-04 ---
--- Best Epoch: 1251, Loss: 6.1975e-04, IC: 6.1211e-04, Res: 7.6351e-06 ---
--- Best Epoch: 1293, Loss: 4.5125e-04, IC: 3.9100e-04, Res: 6.0255e-05 ---
--- Best Epoch: 1298, Loss: 3.2635e-04, IC: 1.5519e-04, Res: 1.7116e-04 ---
--- Best Epoch: 1377, Loss: 2.0987e-04, IC: 1.9527e-04, Res: 1.4592e-05 ---
--- Best Epoch: 1382, Loss: 1.9295e-04, IC: 1.9138e-04, Res: 1.5755e-06 ---
--- Best Epoch: 1383, Loss: 1.5935e-04, IC: 1.3875e-04, Res: 2.0595e-05 ---
--- Best Epoch: 1387, Loss: 1.5818e-04, IC: 1.3581e-04, Res: 2.2367e-05 ---
--- Best Epoch: 1392, Loss: 1.5470e-04, IC: 1.0308e-04, Res: 5.1618e-05 ---
--- Best Epoch: 1788, Loss: 1.4586e-04, IC: 1.2675e-04, Res: 1.9110e-05 ---
--- Best Epoch: 1833, Loss: 1.2753e-04, IC: 9.8766e-05, Res: 2.8765e-05 ---
--- Best Epoch: 1834, Loss: 8.9563e-05, IC: 8.0008e-05, Res: 9.5545e-06 ---
[info] Training epoch: 2000, LR: 9.02e-04
--- Best Epoch: 2385, Loss: 8.5250e-05, IC: 7.2273e-05, Res: 1.2977e-05 ---
--- Best Epoch: 2708, Loss: 8.3802e-05, IC: 6.4126e-05, Res: 1.9677e-05 ---
--- Best Epoch: 2715, Loss: 8.3799e-05, IC: 6.9744e-05, Res: 1.4054e-05 ---
[info] Training epoch: 3000, LR: 8.57e-04
--- Best Epoch: 3001, Loss: 6.9987e-05, IC: 6.0046e-05, Res: 9.9409e-06 ---
--- Best Epoch: 3260, Loss: 5.4424e-05, IC: 4.5378e-05, Res: 9.0457e-06 ---
--- Best Epoch: 3266, Loss: 4.6538e-05, IC: 4.2669e-05, Res: 3.8686e-06 ---
--- Best Epoch: 3337, Loss: 4.3855e-05, IC: 3.5696e-05, Res: 8.1586e-06 ---
[info] Training epoch: 4000, LR: 8.15e-04
[info] Training epoch: 5000, LR: 7.74e-04
[info] Training epoch: 6000, LR: 7.35e-04
--- Best Epoch: 6645, Loss: 3.7393e-05, IC: 3.0720e-05, Res: 6.6739e-06 ---
--- Best Epoch: 6749, Loss: 3.2200e-05, IC: 3.1460e-05, Res: 7.3938e-07 ---
[info] Training epoch: 7000, LR: 6.98e-04
[info] Training epoch: 8000, LR: 6.63e-04
--- Best Epoch: 8074, Loss: 2.8919e-05, IC: 2.1105e-05, Res: 7.8145e-06 ---
[info] Training epoch: 9000, LR: 6.30e-04
--- Best Epoch: 9395, Loss: 2.0217e-05, IC: 1.7716e-05, Res: 2.5014e-06 ---
[info] Training epoch: 10000, LR: 5.99e-04
--- Best Epoch: 10263, Loss: 1.9222e-05, IC: 1.7020e-05, Res: 2.2019e-06 ---
--- Best Epoch: 10843, Loss: 1.7521e-05, IC: 1.5241e-05, Res: 2.2795e-06 ---
[info] Training epoch: 11000, LR: 5.69e-04
[info] Training epoch: 12000, LR: 5.40e-04
--- Best Epoch: 12666, Loss: 1.7052e-05, IC: 1.3193e-05, Res: 3.8591e-06 ---
--- Best Epoch: 12682, Loss: 1.2075e-05, IC: 9.9725e-06, Res: 2.1028e-06 ---
--- Best Epoch: 12946, Loss: 1.0313e-05, IC: 8.7801e-06, Res: 1.5332e-06 ---
[info] Training epoch: 13000, LR: 5.13e-04
[info] Training epoch: 14000, LR: 4.88e-04
--- Best Epoch: 14843, Loss: 1.0105e-05, IC: 9.0999e-06, Res: 1.0053e-06 ---
[info] Training epoch: 15000, LR: 4.63e-04
--- Best Epoch: 15042, Loss: 9.9670e-06, IC: 8.1852e-06, Res: 1.7818e-06 ---
--- Best Epoch: 15046, Loss: 8.9814e-06, IC: 6.7948e-06, Res: 2.1866e-06 ---
[info] Training epoch: 16000, LR: 4.40e-04
--- Best Epoch: 16142, Loss: 7.3897e-06, IC: 6.1480e-06, Res: 1.2417e-06 ---
--- Best Epoch: 16373, Loss: 7.1901e-06, IC: 5.8083e-06, Res: 1.3817e-06 ---
[info] Training epoch: 17000, LR: 4.18e-04
--- Best Epoch: 17343, Loss: 6.1353e-06, IC: 5.8140e-06, Res: 3.2122e-07 ---
--- Best Epoch: 17769, Loss: 6.0944e-06, IC: 4.1635e-06, Res: 1.9309e-06 ---
--- Best Epoch: 17805, Loss: 6.0101e-06, IC: 4.8726e-06, Res: 1.1376e-06 ---
--- Best Epoch: 17817, Loss: 5.6949e-06, IC: 5.5356e-06, Res: 1.5935e-07 ---
--- Best Epoch: 17837, Loss: 5.6645e-06, IC: 5.4934e-06, Res: 1.7105e-07 ---
[info] Training epoch: 18000, LR: 3.97e-04
--- Best Epoch: 18186, Loss: 5.5492e-06, IC: 4.7187e-06, Res: 8.3047e-07 ---
--- Best Epoch: 18582, Loss: 4.9962e-06, IC: 4.8620e-06, Res: 1.3419e-07 ---
[info] Training epoch: 19000, LR: 3.77e-04
--- Best Epoch: 19446, Loss: 4.2386e-06, IC: 3.3297e-06, Res: 9.0897e-07 ---
--- Best Epoch: 19461, Loss: 4.0266e-06, IC: 3.6961e-06, Res: 3.3053e-07 ---
--- Best Epoch: 19535, Loss: 3.7824e-06, IC: 3.5544e-06, Res: 2.2805e-07 ---
[info] Training epoch: 20000, LR: 3.58e-04
[info] Training epoch: 21000, LR: 3.41e-04
--- Best Epoch: 21107, Loss: 3.5916e-06, IC: 3.4812e-06, Res: 1.1043e-07 ---
[info] Training epoch: 22000, LR: 3.24e-04
--- Best Epoch: 22289, Loss: 3.0064e-06, IC: 2.8866e-06, Res: 1.1981e-07 ---
--- Best Epoch: 22419, Loss: 2.8772e-06, IC: 2.6242e-06, Res: 2.5309e-07 ---
--- Best Epoch: 22424, Loss: 2.7675e-06, IC: 2.0758e-06, Res: 6.9168e-07 ---
--- Best Epoch: 22473, Loss: 2.7083e-06, IC: 2.4943e-06, Res: 2.1400e-07 ---
[info] Training epoch: 23000, LR: 3.07e-04
--- Best Epoch: 23139, Loss: 2.5806e-06, IC: 2.3417e-06, Res: 2.3892e-07 ---
--- Best Epoch: 23147, Loss: 2.4186e-06, IC: 1.8804e-06, Res: 5.3819e-07 ---
--- Best Epoch: 23197, Loss: 2.3725e-06, IC: 2.2425e-06, Res: 1.3004e-07 ---
[info] Training epoch: 24000, LR: 2.92e-04
--- Best Epoch: 24341, Loss: 2.1852e-06, IC: 1.8755e-06, Res: 3.0969e-07 ---
--- Best Epoch: 24507, Loss: 1.9050e-06, IC: 1.5495e-06, Res: 3.5550e-07 ---
--- Best Epoch: 24508, Loss: 1.7069e-06, IC: 1.6141e-06, Res: 9.2761e-08 ---
[info] Training epoch: 25000, LR: 2.77e-04
[info] Training epoch: 26000, LR: 2.64e-04
--- Best Epoch: 26789, Loss: 1.7040e-06, IC: 1.3914e-06, Res: 3.1263e-07 ---
[info] Training epoch: 27000, LR: 2.50e-04
--- Best Epoch: 27670, Loss: 1.6980e-06, IC: 1.3756e-06, Res: 3.2243e-07 ---
[info] Training epoch: 28000, LR: 2.38e-04
--- Best Epoch: 28103, Loss: 1.6492e-06, IC: 1.4467e-06, Res: 2.0252e-07 ---
--- Best Epoch: 28108, Loss: 1.6436e-06, IC: 1.3672e-06, Res: 2.7648e-07 ---
[info] Training epoch: 29000, LR: 2.26e-04
--- Best Epoch: 29029, Loss: 1.3406e-06, IC: 1.1222e-06, Res: 2.1846e-07 ---
[info] Training epoch: 30000, LR: 2.15e-04
--- Best Epoch: 30825, Loss: 9.9622e-07, IC: 9.2983e-07, Res: 6.6386e-08 ---
[info] Training epoch: 31000, LR: 2.04e-04
[info] Training epoch: 32000, LR: 1.94e-04
[info] Training epoch: 33000, LR: 1.84e-04
--- Best Epoch: 33274, Loss: 9.5133e-07, IC: 8.9655e-07, Res: 5.4776e-08 ---
--- Best Epoch: 33362, Loss: 9.5108e-07, IC: 7.8546e-07, Res: 1.6562e-07 ---
[info] Training epoch: 34000, LR: 1.75e-04
--- Best Epoch: 34193, Loss: 9.4112e-07, IC: 8.8802e-07, Res: 5.3096e-08 ---
--- Best Epoch: 34197, Loss: 7.6128e-07, IC: 6.9933e-07, Res: 6.1953e-08 ---
[info] Training epoch: 35000, LR: 1.66e-04
[info] Training epoch: 36000, LR: 1.58e-04
[info] Training epoch: 37000, LR: 1.50e-04
--- Best Epoch: 37458, Loss: 6.8920e-07, IC: 6.2182e-07, Res: 6.7388e-08 ---
[info] Training epoch: 38000, LR: 1.42e-04
--- Best Epoch: 38345, Loss: 5.6594e-07, IC: 5.1302e-07, Res: 5.2921e-08 ---
[info] Training epoch: 39000, LR: 1.35e-04
[info] Training epoch: 40000, LR: 1.29e-04
===== logging end   2025-10-28 22:44:15 =====
