
===== logging start 2025-10-28 09:37:29 =====
--- Best Epoch: 75, Loss: 1.8634e-05, IC: 1.8634e-05, Res: 6.6537e-20 ---
--- Best Epoch: 79, Loss: 1.6500e-05, IC: 1.6500e-05, Res: 3.6931e-10 ---
--- Best Epoch: 81, Loss: 1.6298e-05, IC: 1.6298e-05, Res: 5.7302e-30 ---
--- Best Epoch: 84, Loss: 1.5548e-05, IC: 1.5548e-05, Res: 5.0206e-11 ---
--- Best Epoch: 85, Loss: 1.4992e-05, IC: 1.4992e-05, Res: 2.8115e-22 ---
--- Best Epoch: 87, Loss: 1.3594e-05, IC: 1.3594e-05, Res: 5.2951e-13 ---
--- Best Epoch: 92, Loss: 1.3493e-05, IC: 1.3493e-05, Res: 1.0856e-26 ---
--- Best Epoch: 94, Loss: 1.3490e-05, IC: 1.3490e-05, Res: 1.1024e-19 ---
--- Best Epoch: 95, Loss: 1.3029e-05, IC: 1.3029e-05, Res: 3.6198e-25 ---
--- Best Epoch: 98, Loss: 1.2870e-05, IC: 1.2870e-05, Res: 8.9448e-13 ---
--- Best Epoch: 99, Loss: 1.2570e-05, IC: 1.2570e-05, Res: 9.1962e-13 ---
--- Best Epoch: 100, Loss: 1.1861e-05, IC: 1.1861e-05, Res: 1.7139e-13 ---
--- Best Epoch: 105, Loss: 1.1444e-05, IC: 1.1444e-05, Res: 1.5417e-16 ---
--- Best Epoch: 106, Loss: 1.1140e-05, IC: 1.1140e-05, Res: 9.0545e-19 ---
--- Best Epoch: 107, Loss: 1.0927e-05, IC: 1.0927e-05, Res: 6.1577e-14 ---
--- Best Epoch: 109, Loss: 1.0781e-05, IC: 1.0781e-05, Res: 2.1725e-20 ---
--- Best Epoch: 110, Loss: 1.0761e-05, IC: 1.0761e-05, Res: 1.0920e-11 ---
--- Best Epoch: 111, Loss: 1.0681e-05, IC: 1.0681e-05, Res: 8.7615e-28 ---
--- Best Epoch: 113, Loss: 1.0188e-05, IC: 1.0188e-05, Res: 4.5602e-15 ---
--- Best Epoch: 114, Loss: 1.0098e-05, IC: 1.0098e-05, Res: 3.5375e-25 ---
--- Best Epoch: 116, Loss: 9.8815e-06, IC: 9.8815e-06, Res: 3.0490e-14 ---
--- Best Epoch: 117, Loss: 9.5609e-06, IC: 9.5609e-06, Res: 3.4847e-26 ---
--- Best Epoch: 119, Loss: 8.9839e-06, IC: 8.9839e-06, Res: 5.9356e-14 ---
--- Best Epoch: 121, Loss: 8.9588e-06, IC: 8.9588e-06, Res: 9.0727e-14 ---
--- Best Epoch: 126, Loss: 8.6203e-06, IC: 8.6203e-06, Res: 4.3188e-14 ---
--- Best Epoch: 128, Loss: 7.9821e-06, IC: 7.9821e-06, Res: 1.1490e-18 ---
--- Best Epoch: 133, Loss: 7.9318e-06, IC: 7.9318e-06, Res: 2.7013e-38 ---
--- Best Epoch: 135, Loss: 7.6339e-06, IC: 7.6339e-06, Res: 3.7076e-13 ---
--- Best Epoch: 137, Loss: 7.5768e-06, IC: 7.5768e-06, Res: 3.1612e-30 ---
--- Best Epoch: 141, Loss: 7.3925e-06, IC: 7.3925e-06, Res: 1.3550e-30 ---
--- Best Epoch: 142, Loss: 7.2686e-06, IC: 7.2686e-06, Res: 8.7940e-25 ---
--- Best Epoch: 144, Loss: 6.8097e-06, IC: 6.8097e-06, Res: 9.7460e-30 ---
--- Best Epoch: 150, Loss: 6.4649e-06, IC: 6.4649e-06, Res: 2.0617e-19 ---
--- Best Epoch: 152, Loss: 6.1469e-06, IC: 6.1469e-06, Res: 2.0579e-19 ---
