x1,x2,pdf
7020.408203,-5.933357,0.000000
7061.224609,-5.933357,0.000000
7102.041016,-5.933357,0.000000
7142.857422,-5.933357,0.000000
7183.673340,-5.933357,0.000000
7224.489746,-5.933357,0.000000
7265.306152,-5.933357,0.000000
7306.122559,-5.933357,0.000000
7346.938965,-5.933357,0.000000
7387.754883,-5.933357,0.000000
7428.571289,-5.933357,0.000000
7469.387695,-5.933357,0.000000
7510.204102,-5.933357,0.000000
7551.020508,-5.933357,0.000000
7591.836914,-5.933357,0.000000
7632.653320,-5.933357,0.000000
7673.469238,-5.933357,0.000000
7714.285645,-5.933357,0.000000
7755.102051,-5.933357,0.000000
7795.918457,-5.933357,0.000000
7836.734863,-5.933357,0.000000
7877.550781,-5.933357,0.000000
7918.367188,-5.933357,0.000000
7959.183594,-5.933357,0.000000
8000.000000,-5.933357,0.000000
8040.816406,-5.933357,0.000000
8081.632812,-5.933357,0.000000
8122.449219,-5.933357,0.000000
8163.265137,-5.933357,0.000000
8204.082031,-5.933357,0.000000
8244.898438,-5.933357,0.000000
8285.713867,-5.933357,0.000000
8326.530273,-5.933357,0.000000
8367.346680,-5.933357,0.000000
8408.163086,-5.933357,0.000000
8448.979492,-5.933357,0.000000
8489.795898,-5.933357,0.000000
8530.612305,-5.933357,0.000000
8571.428711,-5.933357,0.000000
8612.245117,-5.933357,0.000000
8653.061523,-5.933357,0.000000
8693.877930,-5.933357,0.000000
8734.693359,-5.933357,0.000000
8775.509766,-5.933357,0.000000
8816.326172,-5.933357,0.000000
8857.142578,-5.933357,0.000000
8897.958984,-5.933357,0.000000
8938.775391,-5.933357,0.000000
8979.591797,-5.933357,0.000000
7020.408203,-5.233700,0.000000
7061.224609,-5.233700,0.000000
7102.041016,-5.233700,0.000000
7142.857422,-5.233700,0.000000
7183.673340,-5.233700,0.000000
7224.489746,-5.233700,0.000000
7265.306152,-5.233700,0.000000
7306.122559,-5.233700,0.000000
7346.938965,-5.233700,0.000000
7387.754883,-5.233700,0.000000
7428.571289,-5.233700,0.000000
7469.387695,-5.233700,0.000000
7510.204102,-5.233700,0.000000
7551.020508,-5.233700,0.000000
7591.836914,-5.233700,0.000000
7632.653320,-5.233700,0.000000
